attributes,single 1,single 2,single 4,single 8,single 16,single 32,single 64,single 128,single 256,single 512,single 1024,single 2048,single 4096,single 8192,single 16384,single 32768,single 65536,single 131072,single 262144,single 524288,single 1048576,single 2097152,single 4194304,single 8388608,single 16777216
1,761,762,764,768,776,792,824,888,1016,1272,1784,2808,4856,8952,17144,33528,66296,131832,262904,525048,1049336,2097912,4195064,8389368,16777976
5,1685,1686,1688,1692,1700,1716,1748,1812,1940,2196,2708,3732,5780,9876,18068,34452,67220,132756,263828,525972,1050260,2098836,4195988,8390292,16778900
10,2844,2845,2847,2851,2859,2875,2907,2971,3099,3355,3867,4891,6939,11035,19227,35611,68379,133915,264987,527131,1051419,2099995,4197147,8391451,16780059
15,4014,4015,4017,4021,4029,4045,4077,4141,4269,4525,5037,6061,8109,12205,20397,36781,69549,135085,266157,528301,1052589,2101165,4198317,8392621,16781229
20,5184,5185,5187,5191,5199,5215,5247,5311,5439,5695,6207,7231,9279,13375,21567,37951,70719,136255,267327,529471,1053759,2102335,4199487,8393791,16782399
25,6354,6355,6357,6361,6369,6385,6417,6481,6609,6865,7377,8401,10449,14545,22737,39121,71889,137425,268497,530641,1054929,2103505,4200657,8394961,16783569
30,7524,7525,7527,7531,7539,7555,7587,7651,7779,8035,8547,9571,11619,15715,23907,40291,73059,138595,269667,531811,1056099,2104675,4201827,8396131,16784739
35,8694,8695,8697,8701,8709,8725,8757,8821,8949,9205,9717,10741,12789,16885,25077,41461,74229,139765,270837,532981,1057269,2105845,4202997,8397301,16785909
40,9864,9865,9867,9871,9879,9895,9927,9991,10119,10375,10887,11911,13959,18055,26247,42631,75399,140935,272007,534151,1058439,2107015,4204167,8398471,16787079
45,11034,11035,11037,11041,11049,11065,11097,11161,11289,11545,12057,13081,15129,19225,27417,43801,76569,142105,273177,535321,1059609,2108185,4205337,8399641,16788249
50,12204,12205,12207,12211,12219,12235,12267,12331,12459,12715,13227,14251,16299,20395,28587,44971,77739,143275,274347,536491,1060779,2109355,4206507,8400811,16789419
